2024.02.01 04:43:10 INFO  es[][o.e.m.j.JvmGcMonitorService] [gc][75745] overhead, spent [322ms] collecting in the last [1s]
2024.02.01 07:39:55 WARN  es[][o.e.t.ThreadPool] timer thread slept for [2h/7227488ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 08:40:56 WARN  es[][o.e.t.ThreadPool] timer thread slept for [1h/3631047ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 10:42:59 WARN  es[][o.e.t.ThreadPool] timer thread slept for [2h/7293501ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 12:45:05 WARN  es[][o.e.t.ThreadPool] timer thread slept for [2h/7294468ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 13:46:22 WARN  es[][o.e.t.ThreadPool] timer thread slept for [1h/3647345ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 14:42:52 WARN  es[][o.e.t.ThreadPool] timer thread slept for [56m/3360902ms] on absolute clock which is above the warn threshold of [5000ms]
2024.02.01 16:41:31 INFO  es[][o.e.n.Node] stopping ...
2024.02.01 16:41:32 INFO  es[][o.e.n.Node] stopped
2024.02.01 16:41:32 INFO  es[][o.e.n.Node] closing ...
2024.02.01 16:41:32 INFO  es[][o.e.n.Node] closed
2024.02.01 16:42:13 INFO  es[][o.e.n.Node] version[7.17.8], pid[27], build[default/tar/120eabe1c8a0cb2ae87cffc109a5b65d213e9df1/2022-12-02T17:33:09.727072865Z], OS[Linux/6.6.12-linuxkit/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/17.0.10/17.0.10+7]
2024.02.01 16:42:13 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2024.02.01 16:42:13 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=/opt/sonarqube/logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Dcom.redhat.fips=false, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2024.02.01 16:42:13 INFO  es[][o.e.p.PluginsService] no plugins loaded
2024.02.01 16:42:13 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/host_mark/Users)]], net usable_space [194.9gb], net total_space [465.6gb], types [fakeowner]
2024.02.01 16:42:13 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2024.02.01 16:42:13 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [fCefQGYJT-izVOemomRVyg], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
2024.02.01 16:42:17 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2024.02.01 16:42:17 INFO  es[][o.e.i.r.RecoverySettings] using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]
2024.02.01 16:42:17 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2024.02.01 16:42:17 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2024.02.01 16:42:18 INFO  es[][o.e.n.Node] initialized
2024.02.01 16:42:18 INFO  es[][o.e.n.Node] starting ...
2024.02.01 16:42:18 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:46621}, bound_addresses {127.0.0.1:46621}
2024.02.01 16:42:18 INFO  es[][o.e.c.c.Coordinator] cluster UUID [F9G34RkAQDmCGklp35l31w]
2024.02.01 16:42:18 INFO  es[][o.e.c.s.MasterService] elected-as-master ([1] nodes joined)[{sonarqube}{fCefQGYJT-izVOemomRVyg}{OJYBcjV5SeKv6RkarxsegQ}{127.0.0.1}{127.0.0.1:46621}{cdfhimrsw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 7, version: 154, delta: master node changed {previous [], current [{sonarqube}{fCefQGYJT-izVOemomRVyg}{OJYBcjV5SeKv6RkarxsegQ}{127.0.0.1}{127.0.0.1:46621}{cdfhimrsw}]}
2024.02.01 16:42:18 INFO  es[][o.e.c.s.ClusterApplierService] master node changed {previous [], current [{sonarqube}{fCefQGYJT-izVOemomRVyg}{OJYBcjV5SeKv6RkarxsegQ}{127.0.0.1}{127.0.0.1:46621}{cdfhimrsw}]}, term: 7, version: 154, reason: Publication{term=7, version=154}
2024.02.01 16:42:18 INFO  es[][o.e.h.AbstractHttpServerTransport] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2024.02.01 16:42:18 INFO  es[][o.e.n.Node] started
2024.02.01 16:42:18 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2024.02.01 16:42:22 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]]]).
